limspedon_id,State,County_FIPS,County Name,latitude degrees,latitude minutes,latitude seconds,latitude direction,longitude degrees,longitude minutes,longitude seconds,longitude direction,latitude decimal_degrees,longitude decimal_degrees,horizontal datum,Classification Type: SSL,SSL_taxon_name,SSL_taxon_kind,SSL_taxonomic_classification_name,Classification Type: Field,field_taxon_name,field_taxon_kind,field_taxonomic_classification_name,Classification Type: Sampled As,sampledas_taxon_name,sampled_taxon_kind,sampledas_taxonomic_classification_name,Classification Type: Correlated As,correlatedas_taxon_name,correlatedas_taxon_kind,correlatedas_taxonomic_classification_name
3,MI,MI131,Ontonagon,46,42,2,north,89,49,38,west,,,NAD27,SSL,Gogebic,series,"Loamy-skeletal, isotic, frigid Alfic Oxyaquic Haplorthod",,,,,sampled as,Gogebic,series,"Coarse-loamy, mixed, superactive, frigid Alfic Oxyaquic Fragiorthod",,,,
4,MI,MI131,Ontonagon,46,41,45.55,north,89,49,41.7,west,,,NAD27,SSL,Gogebic,series,"Coarse-loamy, isotic, frigid Alfic Oxyaquic Haplorthod",,,,,sampled as,Gogebic,series,"Coarse-loamy, mixed, superactive, frigid Alfic Oxyaquic Fragiorthod",,,,
5,MI,MI131,Ontonagon,46,41,12,north,89,51,29,west,,,NAD27,SSL,Porkies,series,"Coarse-loamy, isotic, frigid Oxyaquic Fragiorthod",,,,,sampled as,Porkies,series,"Loamy-skeletal, mixed, frigid Alfic Oxyaquic Fragiorthod",,,,
6,MI,MI131,Ontonagon,46,41,14,north,89,49,12,west,,,NAD27,SSL,SND,,"Coarse-loamy, isotic, frigid Typic Haplorthod",,,,,sampled as,SND,,"Coarse-loamy, mixed, frigid Alfic Haplorthod",,,,
7,MI,MI131,Ontonagon,46,41,29,north,89,48,55,west,,,NAD27,SSL,SND,,"Coarse-loamy, mixed, superactive, frigid Typic Haplorthod",,,,,sampled as,SND,,"Coarse-loamy, mixed, frigid Alfic Oxyaquic Haplorthod",,,,
8,MI,MI131,Ontonagon,46,59,9.42,north,88,58,1.29,west,,,NAD27,SSL,Flintsteel,series,"Fine-loamy, mixed, active, frigid Oxyaquic Glossudalf",,,,,sampled as,Flintsteel,series,"Fine-loamy, mixed, superactive, frigid Oxyaquic Glossudalf",,,,
9,MI,MI131,Ontonagon,46,59,14.04,north,88,58,20.82,west,,,NAD27,SSL,Siskiwit,series,"Sandy, isotic, frigid Oxyaquic Haplorthod",,,,,sampled as,Siskiwit,series,"Coarse-loamy, mixed, frigid Alfic Oxyaquic Haplorthod",,,,
10,MI,MI131,Ontonagon,46,59,21.27,north,88,58,46.51,west,,,NAD27,SSL,Annalake,series,"Coarse-loamy, isotic, frigid Oxyaquic Haplorthod",,,,,sampled as,Annalake,series,"Coarse-loamy, mixed, superactive, frigid Alfic Oxyaquic Haplorthod",,,,
11,MI,MI131,Ontonagon,46,54,32.96,north,89,9,56,west,,,NAD27,SSL,Loggerhead,series,"Coarse-loamy over sandy or sandy-skeletal, aniso, isotic, frigid Alfic Haplorthod",,,,,sampled as,Loggerhead,series,"Coarse-loamy, mixed, superactive, frigid Alfic Haplorthod",,,,
66,MI,MI131,Ontonagon,46,49,13,north,89,39,24,west,,,NAD27,SSL,Loggerhead,series,"Sandy over loamy, isotic over mixed, active, frigid Alfic Oxyaquic Haplorthod",,,,,sampled as,Loggerhead,series,"Coarse-loamy, mixed, superactive, frigid Alfic Oxyaquic Haplorthod",,,,
67,MI,MI131,Ontonagon,,,,,,,,,,,,SSL,Arcadian,series,"Coarse-loamy, isotic, frigid Humic Eutrudept",,,,,sampled as,Arcadian,series,"Loamy-skeletal, mixed, active, frigid Lithic Dystrudept",,,,
68,MI,MI131,Ontonagon,46,48,20,north,89,41,44,west,,,,SSL,Flintsteel,series,"Fine-loamy, mixed, active, frigid Alfic Oxyaquic Haplorthod",field,Flintsteel,series,"Fine-loamy, mixed, superactive, frigid Oxyaquic Glossudalf",sampled as,Flintsteel,series,"Fine-loamy, mixed, superactive, frigid Oxyaquic Haplorthod",,,,
69,MI,MI131,Ontonagon,46,45,32.2,north,89,42,27.2,west,,,NAD27,SSL,Porkies,series,"Coarse-loamy, isotic, frigid Oxyaquic Fragiorthod",,,,,sampled as,Porkies,series,"Loamy-skeletal, mixed, frigid Alfic Oxyaquic Fragiorthod",,,,
70,MI,MI131,Ontonagon,46,49,30,north,89,39,35,west,,,NAD27,SSL,Annalake,series,"Sandy, isotic, frigid Oxyaquic Haplorthod",,,,,sampled as,Annalake,series,"Coarse-loamy, mixed, superactive, frigid Oxyaquic Haplorthod",,,,
71,MI,MI131,Ontonagon,46,49,5,north,89,41,19,west,,,NAD27,SSL,Porkies,series,"Coarse-loamy, isotic, frigid Pachic Argiudoll",,,,,sampled as,Porkies,,"Loamy-skeletal, mixed, frigid Alfic Oxyaquic Fragiorthod",,,,
72,MI,MI131,Ontonagon,46,48,24.22,north,89,45,39.19,west,,,,SSL,Loggerhead,series,"Coarse-loamy, mixed, superactive, frigid Fragic Haplorthod",,,,,sampled as,Loggerhead,series,"Coarse-loamy, mixed, superactive, frigid Fragic Haplorthod",,,,
74,MI,MI131,Ontonagon,46,48,9,north,89,46,0,west,,,NAD27,SSL,Peshekee,series,"Loamy, isotic, frigid Lithic Haplorthod",,,,,sampled as,Peshekee,series,"Loamy, mixed, semiactive, frigid Lithic Haplorthod",,,,
76,MI,MI131,Ontonagon,46,49,11.03,north,89,40,17.73,west,,,,SSL,Porkies,series,"Coarse-loamy, mixed, superactive, frigid Fragic Oxyaquic Hapludalf",,,,,sampled as,Porkies,series,"Loamy-skeletal, mixed, frigid Alfic Oxyaquic Fragiorthod",,,,
77,MI,MI131,Ontonagon,46,48,1.04,north,89,46,20.18,west,,,,SSL,Peshekee,series,"Loamy, isotic, frigid Lithic Dystrudept",,,,,sampled as,Peshekee,series,"Loamy, mixed, semiactive, frigid Lithic Haplorthod",,,,
78,MI,MI131,Ontonagon,46,48,6.02,north,89,46,8.54,west,,,,SSL,Michigamme,series,"Coarse-loamy, isotic, frigid Typic Haplorthod",,,,,sampled as,Michigamme,series,"Coarse-loamy, mixed, superactive, frigid Alfic Haplorthod",,,,
79,MI,MI131,Ontonagon,46,41,31,north,89,48,21,west,,,NAD27,SSL,Wakefield,series,"Coarse-loamy, isotic, frigid Alfic Oxyaquic Haplorthod",,,,,sampled as,Wakefield,series,"Coarse-loamy, mixed, frigid Alfic Oxyaquic Fragiorthod",,,,
80,MI,MI131,Ontonagon,46,42,26,north,89,47,25,west,,,NAD27,SSL,Wakefield,series,"Coarse-loamy, isotic, frigid Alfic Oxyaquic Haplorthod",,,,,sampled as,Wakefield,series,"Coarse-loamy, mixed, frigid Alfic Oxyaquic Fragiorthod",,,,
81,MI,MI131,Ontonagon,46,50,30,north,89,16,35,west,,,NAD27,SSL,Loggerhead,series,"Coarse-loamy, mixed, superactive, frigid Alfic Haplorthod",,,,,sampled as,Loggerhead,series,"Coarse-loamy, mixed, superactive, frigid Alfic Haplorthod",,,,
82,MI,MI131,Ontonagon,46,41,49.76,north,89,49,31.21,west,,,NAD27,SSL,Gogebic,series,"Coarse-loamy, isotic, frigid Alfic Oxyaquic Haplorthod",,,,,sampled as,Gogebic,series,"Coarse-loamy, mixed, superactive, frigid Alfic Oxyaquic Fragiorthod",,,,
83,MI,MI131,Ontonagon,46,41,37,north,89,51,3,west,,,NAD27,SSL,Gogebic,series,"Coarse-loamy, isotic, frigid Alfic Oxyaquic Haplorthod",,,,,sampled as,Gogebic,series,"Coarse-loamy, mixed, superactive, frigid Alfic Oxyaquic Haplorthod",,,,
84,MI,MI131,Ontonagon,46,42,16,north,89,51,36,west,,,NAD27,SSL,Flintsteel,series,"Coarse-loamy, mixed, active, frigid Oxyaquic Hapludalf",,,,,sampled as,Flintsteel,series,"Fine-loamy, mixed, superactive, frigid Oxyaquic Glossudalf",,,,
89,MI,MI131,Ontonagon,46,41,15,north,89,50,7,west,,,NAD27,SSL,Gogebic,series,"Coarse-loamy, mixed, superactive, frigid Alfic Oxyaquic Haplorthod",,,,,sampled as,Gogebic,series,"Coarse-loamy, mixed, superactive, frigid Alfic Oxyaquic Fragiorthod",,,,
90,MI,MI131,Ontonagon,46,41,33,north,89,50,2,west,,,NAD27,SSL,Gogebic,series,"Coarse-loamy, isotic, frigid Alfic Oxyaquic Fragiorthod",,,,,sampled as,Gogebic,series,"Coarse-loamy, mixed, superactive, frigid Alfic Oxyaquic Fragiorthod",,,,
92,MI,MI131,Ontonagon,46,41,37.59,north,89,49,55.62,west,,,NAD27,SSL,Michigamme,series,"Coarse-loamy, isotic, frigid Typic Haplorthod",,,,,sampled as,Michigamme,series,"Coarse-loamy, mixed, superactive, frigid Typic Haplorthod",,,,
93,MI,MI131,Ontonagon,46,59,14.87,north,88,59,36.46,west,,,NAD27,SSL,Siskiwit,series,"Sandy, mixed, frigid Oxyaquic Haplorthod",,,,,sampled as,Siskiwit,series,"Sandy, mixed, frigid Alfic Oxyaquic Haplorthod",,,,
121,MI,MI153,Schoolcraft,45,59,9,north,86,14,29,west,,,,SSL,Beartown,series,"Mixed, frigid Mollic Psammaquent",,,,,sampled as,Beartown,series,"Sandy, mixed, frigid Mollic Fluvaquent",,,,
122,MI,MI153,Schoolcraft,46,6,4,north,86,12,42,west,,,,SSL,,,"Sandy, isotic, frigid Typic Haplorthod",,,,,sampled as,Stutts,series,"Sandy, mixed, frigid Typic Haplorthod",,,,
123,MI,MI153,Schoolcraft,46,6,14,north,86,9,16,west,,,,SSL,Hiawatha,series,"Mixed, frigid Typic Udipsamment",,,,,sampled as,Hiawatha,series,"Mixed, frigid Typic Udipsamment",,,,
124,MI,MI153,Schoolcraft,46,1,4,north,85,59,20,west,,,,SSL,Milakokia,series,"Coarse-loamy, mixed, active, frigid Argic Endoaquod",,,,,sampled as,Milakokia,series,"Coarse-loamy, mixed, frigid Argic Endoaquod",,,,
125,MI,MI153,Schoolcraft,46,2,3,north,85,59,6,west,,,,SSL,Minnow,series,"Coarse-loamy, mixed, active, frigid Aeric Endoaquept",,,,,sampled as,Minnow,series,"Coarse-loamy, mixed, active, nonacid, frigid Aeric Endoaquept",,,,
126,MI,MI153,Schoolcraft,46,3,5,north,85,56,14,west,,,,SSL,Gulliver,series,"Coarse-loamy, mixed, superactive, frigid Alfic Oxyaquic Haplorthod",,,,,sampled as,Gulliver,series,"Coarse-loamy, mixed, superactive, frigid Alfic Oxyaquic Haplorthod",,,,
204,OH,OH129,Pickaway,,,,,,,,,,,,,,,,,,,,sampled as,Warsaw,series,,,,,
262,MI,MI053,Gogebic,46,23,4.42,north,89,43,48.09,west,,,,SSL,Bluebill,series,"Coarse-loamy, mixed, superactive, frigid Aquic Hapludalf",,,,,sampled as,Bluebill,series,,,,,
263,MI,MI053,Gogebic,46,23,58.52,north,89,50,53.14,west,,,,SSL,Foxpaw,series,"Coarse-loamy, isotic, frigid Typic Endoaquod",,,,,sampled as,Foxpaw,series,"Coarse-loamy, mixed, frigid Typic Endoaquod",,,,
264,MI,MI053,Gogebic,46,22,18.32,north,89,34,43.93,west,,,,SSL,Karlin,series,"Sandy, isotic, frigid Typic Haplorthod",,,,,sampled as,"Karlin, ""typic""",series,"Coarse-loamy over sandy or sandy-skeletal, mixed, frigid Typic Haplorthod",,,,
255,MI,MI053,Gogebic,46,39,5.42,north,90,0,11.41,west,,,NAD27,SSL,Crystal Lake,series,"Fine-silty over sandy or sandy-skeletal, mixed, superactive, frigid Oxyaquic Hapludalf",,,,,sampled as,Crystal Lake,series,Frigid Oxyaquic Glossudalf,,,,
256,MI,MI053,Gogebic,46,31,27.18,north,89,46,40,west,,,,SSL,Ethelwood,series,"Sandy, isotic, frigid Aquic Haplorthod",,,,,sampled as,Ethelwood,series,"Sandy, mixed, frigid Aquic Haplorthod",,,,
257,MI,MI053,Gogebic,46,31,52.82,north,89,47,26.3,west,,,,SSL,Thomaston,series,"Sandy over clayey, mixed, active, frigid Aqualfic Haplorthod",,,,,sampled as,Thomaston,series,"Fine-loamy, mixed, frigid Aqualfic Haplorthod",,,,
258,MI,MI053,Gogebic,46,39,48,north,89,58,57,west,,,,,,,,,,,,sampled as,Flintsteel,series,Frigid Oxyaquic Glossudalf,,,,
265,MI,MI053,Gogebic,46,34,1.8,north,90,8,53.39,west,,,,SSL,Amasa,series,"Coarse-loamy over sandy or sandy-skeletal, isotic, frigid Typic Haplorthod",,,,,sampled as,Amasa,series,"Coarse-loamy over sandy or sandy-skeletal, mixed, superactive, frigid Typic Haplorthod",,,,
266,MI,MI053,Gogebic,46,31,42.68,north,90,13,8.54,west,,,,,,,,,,,,sampled as,Wakefield,series,"Coarse-loamy, mixed, frigid Alfic Fragiorthod",,,,
259,MI,MI053,Gogebic,46,22,1.86,north,89,27,56.16,west,,,,SSL,Icehouse,series,"Coarse-loamy, mixed, superactive, frigid Typic Endoaquept",,,,,sampled as,Icehouse,series,"Coarse-loamy, mixed, nonacid, frigid Typic Endoaquept",,,,
260,MI,MI053,Gogebic,46,31,35.57,north,89,49,16.39,west,,,,SSL,Pleine,series,"Coarse-loamy, mixed, superactive, nonacid, frigid Histic Humaquept",,,,,sampled as,Pleine,series,"Coarse-loamy, mixed, superactive, nonacid, frigid Histic Humaquept",,,,
261,MI,MI053,Gogebic,46,34,28.03,north,90,23,2.14,west,,,,,,,,,,,,sampled as,Flintsteel,series,Frigid Oxyaquic Glossudalf,,,,
