Paper,DOI,Corresponding soil paper,Treatment_1,Treatment_2,Treatment_3,Treatment_4,Treatment_5,Treatment_6,Treatment_7,Trt.combo,Trt.code,Control
Huang et al. 2015,10.1002/ece3.1420,Huang et al. 2015,Conventional tillage,Urea (225 kg N ha-1),NA,NA,NA,NA,NA,"Conventional tillage, Urea (225 kg N ha-1)",,
Huang et al. 2015,10.1002/ece3.1420,Huang et al. 2015,No till,Urea (225 kg N ha-1),NA,NA,NA,NA,NA,"No till, Urea (225 kg N ha-1)",,
Huang et al. 2015,10.1002/ece3.1420,Huang et al. 2015,Conventional tillage,Urea (180 kg N ha-1) and wheat straw (45 kg N ha-1),NA,NA,NA,NA,NA,"Conventional tillage, Urea (180 kg N ha-1) and wheat straw (45 kg N ha-1)",,
Huang et al. 2015,10.1002/ece3.1420,Huang et al. 2015,No till,Urea (180 kg N ha-1) and wheat straw (45 kg N ha-1),NA,NA,NA,NA,NA,"No till, Urea (180 kg N ha-1) and wheat straw (45 kg N ha-1)",,
Huang et al. 2015,10.1002/ece3.1420,Huang et al. 2015,Conventional tillage,Urea (180 kg N ha-1) and poultry manure (45 kg N ha-1),NA,NA,NA,NA,NA,"Conventional tillage, Urea (180 kg N ha-1) and poultry manure (45 kg N ha-1)",,
Huang et al. 2015,10.1002/ece3.1420,Huang et al. 2015,No till,Urea (180 kg N ha-1) and poultry manure (45 kg N ha-1),NA,NA,NA,NA,NA,"No till, Urea (180 kg N ha-1) and poultry manure (45 kg N ha-1)",,
Huang et al. 2015,10.1002/ece3.1420,Huang et al. 2015,Conventional tillage,Urea (270 kg N ha-1),NA,NA,NA,NA,NA,"Conventional tillage, Urea (270 kg N ha-1)",,
Huang et al. 2015,10.1002/ece3.1420,Huang et al. 2015,No till,Urea (270 kg N ha-1),NA,NA,NA,NA,NA,"No till, Urea (270 kg N ha-1)",,
Huang et al. 2015,10.1002/ece3.1420,Huang et al. 2015,Conventional tillage,Urea (180 kg N ha-1) and wheat straw (90 kg N ha-1),NA,NA,NA,NA,NA,"Conventional tillage, Urea (180 kg N ha-1) and wheat straw (90 kg N ha-1)",,
Huang et al. 2015,10.1002/ece3.1420,Huang et al. 2015,No till,Urea (180 kg N ha-1) and wheat straw (90 kg N ha-1),NA,NA,NA,NA,NA,"No till, Urea (180 kg N ha-1) and wheat straw (90 kg N ha-1)",,
Huang et al. 2015,10.1002/ece3.1420,Huang et al. 2015,Conventional tillage,Urea (180 kg N ha-1) and poultry manure (90 kg N ha-1),NA,NA,NA,NA,NA,"Conventional tillage, Urea (180 kg N ha-1) and poultry manure (90 kg N ha-1)",,
Huang et al. 2015,10.1002/ece3.1420,Huang et al. 2015,No till,Urea (180 kg N ha-1) and poultry manure (90 kg N ha-1),NA,NA,NA,NA,NA,"No till, Urea (180 kg N ha-1) and poultry manure (90 kg N ha-1)",,
Yang et al. 2011,10.1002/jpln.201000134,Yang et al. 2011,Control treatment,NA,NA,NA,NA,NA,NA,Control treatment,1,1
Yang et al. 2011,10.1002/jpln.201000134,Yang et al. 2011,"Applications of mineral N, P, and K fertilizers",NA,NA,NA,NA,NA,NA,"Applications of mineral N, P, and K fertilizers",2,
Yang et al. 2011,10.1002/jpln.201000134,Yang et al. 2011,Applications of dairy manure plus NPK fertilizers,NA,NA,NA,NA,NA,NA,Applications of dairy manure plus NPK fertilizers,3,
Regmi et al. 2002,10.1007/s00374-002-0525-x,Regmi et al. 2002,100 kg N ha-1,NA,NA,NA,NA,NA,NA,100 kg N ha-1,1,
Regmi et al. 2002,10.1007/s00374-002-0525-x,Regmi et al. 2002,100 kg N ha-1,26 kg P ha-1,NA,NA,NA,NA,NA,"100 kg N ha-1, 26 kg P ha-1",2,
Regmi et al. 2002,10.1007/s00374-002-0525-x,Regmi et al. 2002,100 kg N ha-1,23 kg N ha-1 green manure,NA,NA,NA,NA,NA,"100 kg N ha-1, 23 kg N ha-1 green manure",3,
Regmi et al. 2002,10.1007/s00374-002-0525-x,Regmi et al. 2002,100 kg N ha-1,42 kg N ha-1 green manure,26 kg P ha-1,NA,NA,NA,NA,"100 kg N ha-1, 42 kg N ha-1 green manure, 26 kg P ha-1",4,
Regmi et al. 2002,10.1007/s00374-002-0525-x,Regmi et al. 2002,100 kg N ha-1,26 kg P ha-1,26 kg P ha-1,NA,NA,NA,NA,"100 kg N ha-1, 26 kg P ha-1, 26 kg P ha-1",2,
