study_id,deduplication_status,citation_screening_status,fulltext_screening_status,data_extraction_screening_status,data_source_type,data_source_name,data_source_url,citation_title,citation_abstract,citation_authors,citation_journal_name,citation_journal_volume,citation_pub_year,citation_keywords,fulltext_filename,fulltext_exclude_reasons
197448,not_duplicate,included,not_screened,not_started,database,WoS,http://apps.webofknowledge.com.proxy.library.ucsb.edu:2048/WOS_GeneralSearch_input.do?product=WOS&search_mode=GeneralSearch&SID=3BARtqOKzy9AEr8flMJ&preferencesSaved=,Mucilage from seeds of chia (Salvia hispanica L.) used as soil conditioner; effects on the sorption-desorption of four herbicides in three different soils,"The objective of this work was to determine the effect of the mucilage extracted from Chia seeds (Salvia hispanica L.) as soil amendment on soil physical properties and on the sorption-desorption behaviour of four herbicides (MCPA, Diuron, Clomazone and Terbuthylazine) used in cereal crops. Three soils of different texture (sandy-loam, loam and clay-loam) were selected, and mercury intrusion porosimetry and surface area analysis were used to examine changes in the microstructural characteristics caused by the reactions that occur between the mucilage and soil particles. Laboratory studies were conducted to characterise the selected herbicides with regard their sorption on tested soils added or not with the mucilage. Mucilage amendment resulted in a reduction in soil porosity, basically due to a reduction in larger pores (radius > 10 mu m) and an important increase in finer pores (radius < 10 mu m) and in partcles' surface. A higher herbicide sorption in the amended soils was ascertained when compared to unamended soils. The sorption percentage of herbicides in soils treated with mucilage increased in the order; sandy-loam < loam < clay-loam. The increase in the organic carbon content upon amendment and the natural clay content of the soils are revealed to be responsible for the higher adsorption of Diuron when compared with Terbuthylazine, Clomazone and MCPA. Desorption of the herbicides was highly inhibited in the soils treated with mucilage; only Terbuthylazine showed a slight desorption in the case of loam and clay loam-soils. This study leads to the conclusion thatmucilage from Chia seeds used as soil conditioner can reduce the mobility of herbicides tested in agricultural soils with different physico-chemical properties. (C) 2017 Elsevier B.V. All rights reserved.","Amato, M.; Cox, L.; Di Marsico, A.; Gamiz, B.; Real, M.; Scrano, L.",,625,2018,,,
197450,not_duplicate,included,not_screened,not_started,database,WoS,http://apps.webofknowledge.com.proxy.library.ucsb.edu:2048/WOS_GeneralSearch_input.do?product=WOS&search_mode=GeneralSearch&SID=3BARtqOKzy9AEr8flMJ&preferencesSaved=,Labile and stable soil organic carbon and physical improvements using groundcovers in vineyards from central Spain,"Mediterranean vineyards are usually managed with continuous tillage to maintain bare soils leading to low organic matter stocks and soil degradation. Vineyards are part of the Mediterranean culture, their management can be sustainable. We propose the setup of two types of groundcovers with the aim to assess their potential influence to improve soil properties. A field trial was performed to compare the effects of a seeded (Brachypodium distachyon) and spontaneous groundcovers, on a set of soil parameters, in comparison with the traditional tillage in four vineyards located in the center of Spain. Three years after the groundcovers establishment soil organic carbon stocks increased up to 1.62 and 3.18 Mg ha(-1) for the seeded and the spontaneous groundcovers, respectively, compared to conventional tillage. Both labile and stable fractions improved their soil organic carbon content with the use of groundcovers, particularly the labile fraction. Moreover, soil structure and functional soil properties improved through better aggregate stability, pore connectivity and infiltration rates. The higher root biomass input of the spontaneous groundcovers derived in higher soil organic carbon increases and soil quality improvement. Consequently, under low rainfall conditions (<400 mm per year) spontaneous vegetation, properly managed according to site conditions, is an effective soil management strategy to revert soil degradation and increase soil quality in Mediterranean vineyards. (C) 2017 Elsevier B.V. All rights reserved.","Bienes, Ramon; Garcia-Diaz, Andres; Jose Marques, Maria; Sastre, Blanca",,621,2018,,,
197452,not_duplicate,included,not_screened,not_started,database,WoS,http://apps.webofknowledge.com.proxy.library.ucsb.edu:2048/WOS_GeneralSearch_input.do?product=WOS&search_mode=GeneralSearch&SID=3BARtqOKzy9AEr8flMJ&preferencesSaved=,"Soil porosity, permeability and static and dynamic strength parameters under native forest/grassland compared to no-tillage cropping","Improper soil management, increasing farm machinery mass and traffic frequency threaten the ecological functionality of soils under intensive agricultural use. Especially in Brazil, no-tillage (NT) cropping was adopted as a type of soil management that possibly preserves soil functions. Hence, the objective of the present study is to evaluate the effect and intensity of long-term NT compared to soil under natural forest (NF) or grassland (NG) based on parameters of composition (density, porosity, water retention) and functionality by means of mechanical strength (precompression stress sigma(p), cyclic compressibility c(n)), air permeability K-a, and saturated hydraulic conductivity k(s). The studied Hapludox, Hapludalf and Quartzipsamment from southern Brazil under subtropical climate mostly reacted based upon their grain size distribution, namely clay, loamy sand and loamy fine sand. The largest impact appeared in the Hapludox, where compaction occurred (higher sigma(p), lower c(n) and smaller porosity, especially macroporosity). k(s) and K-a were highest at the surface of the Hapludox under NF, but were reduced strongly under NT. In both the Hapludox and the Hapludalf deeper soil layers were also affected by NT, but in the clayey Hapludox the applied pressure resulted in the largest compacted layer. The Hapludalf of loamy sand texture showed, supposedly due to shallow soil operations, a weak, but permeable surface layer under NT above a dense layer, while the other layers were only slightly affected by cropping. In the Quartzipsamment, there was no increase in or, and little in cm whereas density in deeper layers slightly decreased. While k(s) was increased strongly under NT compared to NG, the opposite was found for K-a which could not be explained by the investigated parameters. The results demonstrate that soil under NT might be significantly affected by soil compaction with regard to soil functions if not adequately managed by adjusted machinery. This is of even greater importance in fine-textured soils like the investigated Hapludox, compared to coarse-textured soils of poor aggregation like the investigated Quartzipsamment.","Brandt, Andre Anibal; Holthusen, Dorthe; Horn, Rainer; Reichert, Jose Miguel",,177,2018,,,
197454,not_duplicate,included,not_screened,not_started,database,WoS,http://apps.webofknowledge.com.proxy.library.ucsb.edu:2048/WOS_GeneralSearch_input.do?product=WOS&search_mode=GeneralSearch&SID=3BARtqOKzy9AEr8flMJ&preferencesSaved=,How grazing affects soil quality of soils formed in the glaciated northeastern United States,"Historically, much of the New England landscape was converted to pasture for grazing animals and harvesting hay. Both consumer demand for local sustainably produced food, and the number of small farms is increasing in RI, highlighting the importance of characterizing the effects livestock have on the quality of pasture soils. To assess how livestock affect pasture on Charlton and Canton soils series in RI, we examined soil quality in farms raising beef cattle (Bos taurus), sheep (Ovis aries), and horses (Equus ferus caballus), using hayed pastures as a control. We sampled three pastures per livestock type and three control hayed pastures in May, August, and October 2012. Hay fields and pastures grazed by sheep had statistically significant (P < 0.001) better soil quality than pastures grazed by beef cattle or horses. This was driven by parameters including penetration resistance, bulk density, aggregate stability, and infiltration rate. Hayfields also showed higher soil quality measures than grazed pastures for organic matter content and active C. In addition, significant differences in nitrate and phosphate concentrations were observed among livestock types. Respiration and infiltration rates, pH, and ammonium concentrations, on the other hand, did not differ significantly among pasture types. When all soil quality indicators in this study were weighed equally, soil quality scores followed the order: hay > sheep > beef cattle > horses. The results of our study provide baseline data on the effect different types of livestock have on pasture soil quality in RI, which may be useful in making sound land use and agricultural management decisions.","Amador, Jose A.; Cox, Alissa H.",,190,2018,,,
197456,not_duplicate,included,not_screened,not_started,database,WoS,http://apps.webofknowledge.com.proxy.library.ucsb.edu:2048/WOS_GeneralSearch_input.do?product=WOS&search_mode=GeneralSearch&SID=3BARtqOKzy9AEr8flMJ&preferencesSaved=,Shifting crop-pasture rotations to no-till annual cropping reduces soil quality and wheat yield,"When crop-pasture rotations are converted to continuous no-till annual cropping systems, the grain yield of wheat crops in the rotation stagnates or declines in response to the number of years of continuous cropping (YCC). We studied the soil properties underlining the response of wheat yield to YCC in 80 on-farm trials during three growing seasons. We determined the frontier yield and the yield gap under limited (Y-F(-), or best technical means) and unlimited nutrient supply (Y-F(+), supplemental additions of nitrogen, phosphorus, potassium and sulfur). For each field, we assessed soil quality based on soil organic carbon (SOC), phosphorus (Bray I), soil texture, field water infiltration rate (INF), and potentially mineralizable nitrogen (PMN). We also calculated a climatological index (CI) that combines temperature, radiation and precipitation during both the spike and early grain growth phases. We estimated Y-F(-) and Y(F)(+)using stochastic frontier production functions with CI, YCC and soil properties as predictor variables. The Y-F(-) and Y-F(+) after a perennial pasture were 6.9 and 8.4 Mg ha(-1), with the 1.5 Mg ha(-1) yield gap attributable to nutrient supply limitations. However, while Y-F(-) declined by 0.12 Mg ha(-1) y(-1) from YCC = 1 to 10 (P <= 0.05), Y-F(+) stayed at roughly the same level till YCC = 5, declining thereafter by 0.17 Mg ha(-1) y(-1) (P <= 0.05). Reduced soil nutrient supply capacity, partially quantified as PMN and amendable with supplemental fertilization, limited 17 during the first five years after pasture. The subsequent 17 decline could not be compensated by increased nutrient supply. After 10 years, the yield gap between Y-F(+) for YCC = 1 and Y-F(-) for YCC = 10, increased to 2.6 Mg ha(-1). Up to 40% of this gap was explained by a deterioration of the soil quality that was independent of the nutrient supply; the decline after five years of continuous cropping was best explained by INF. Thus, continuous annual cropping under no-till generated a progressive increase in the wheat yield gap associated to deterioration in soil quality that could be corrected with supplemental fertilization only in the first years after a pasture, but not thereafter, when soil physical properties seemed to degrade past a threshold that limited wheat yield and reduced nutrient use efficiency.","Cadenazzi, Monica; Dogliotti, Santiago; Ernst, Oswaldo R.; Kemanian, Armen R.",,217,2018,,,
197458,not_duplicate,included,not_screened,not_started,database,WoS,http://apps.webofknowledge.com.proxy.library.ucsb.edu:2048/WOS_GeneralSearch_input.do?product=WOS&search_mode=GeneralSearch&SID=3BARtqOKzy9AEr8flMJ&preferencesSaved=,Soil quality indicator selection in Chilean volcanic soils formed under temperate and humid conditions,"Volcanic soils are extremely productive thanks to their particular characteristics. Therefore, even though they represent < 1% of the soils worldwide, they are very important for global and local agriculture, as they account for > 60% of the arable land of Chile. However, studies evaluating their soil quality are still scarce. Subsequently, soil quality indicators have not yet been established for Chilean volcanic soils. Hence, the aim of this study was to select a set of soil quality indicators to evaluate changes in Chilean volcanic soils, mainly due to land use, but also considering seasonal changes. Thus, three soils derived from volcanic materials were sampled (with different intrinsic properties), on five sampling dates, under three land uses (intensities): native forest (NF), prairie (P) and crops (C). Soil samples were taken to evaluate both chemical (disturbed samples) and physical (undisturbed cylinders and soil blocks) properties. A total of 27 soil properties were measured and/or calculated, among these are: penetration resistance, saturated hydraulic conductivity, air conductivity, bulk density, total porosity pore size distribution, aggregate stability, pH, nutrient contents, Al saturation, effective cation exchange capacity, soil organic carbon and extractable Al. To effectively select the indicators a multivariate analysis (PCA) was performed. The proposed set of indicators for soils derived from volcanic materials include: i) bulk density, ii) plant available water pores in volcanic soils, iii) wide coarse pores, iv) air conductivity at 6 kPa, v) soil organic carbon, vi) extractable Al with ammonium acetate, vii) pH in water, viii) P Olsen and ix) base sum. Main difference in soil quality indicators chosen in this study, compared to previous studies of this type, was the inclusion of extractable Al with ammonium acetate indicator, which is strongly related to the inherent soil properties of these volcanic soils.","Carrasco, Jerman; Valle, Susana R.",,162,2018,,,
197461,not_duplicate,included,not_screened,not_started,database,WoS,http://apps.webofknowledge.com.proxy.library.ucsb.edu:2048/WOS_GeneralSearch_input.do?product=WOS&search_mode=GeneralSearch&SID=3BARtqOKzy9AEr8flMJ&preferencesSaved=,"The impact of tillage, Ca-amendment and cover crop on the physical state of a clay loam soil","Changes in the physical state of a clayey soil are determined by the soil type, soil moisture, weather conditions and tillage intensity. Possibilities to reduce tillage clayey soil have not been sufficiently investigated in Lithuania before. Research was carried out during 2014-2016 at the Joniskelis Experimental Station of the Lithuanian Research Centre for Agriculture and Forestry on a clay loam (siltic, drainic), Endocalcary-Endohypogleyic Cambisol (CMg-n-w-can) in the experiment, established in 2006. The aim of the present study was to evaluate the long-term effects of different tillage intensity as well as its combinations with supplementary agronomic practices (deep ploughing at 21-23 cm depth and shallow ploughless tillage at 10-12 cm depth as well as shallow ploughless tillage with incorporation of lime sludge and no-till in the autumn with a cover crop for winter mulch) on the indicators of soil physical state, investigated in a field pea crop. Ploughless tillage alone demonstrated the significantly higher soil water content before pre-sowing tillage in spring, higher soil dry bulk density, lower soil total porosity and soil water capacity before crop harvesting in topsoil; however, soil dry bulk density decreased, soil water capacity and soil total and air-filled porosity increased in the subsoil compared to deep ploughing. Incorporation of lime sludge (Ca-amendment) in the ploughless tillage plots resulted in higher soil water content before pre-sowing tillage, lower soil water content after crop emergence and before harvesting, higher air-filled porosity and amount of stable soil aggregates in topsoil, lower soil dry bulk density, higher total and air-filled porosity in subsoil before harvesting. Due to no-till in the autumn, with a cover crop for winter mulch, soil water content increased before pre-sowing tillage, it decreased after crop emergence and before harvesting in topsoil, soil dry bulk density decreased and total and air-filled porosity increased in subsoil; however, the amount of most agronomically valuable (0.25-5.6 mm) soil aggregates decreased in topsoil before harvesting compared to ploughing.","Satkus, Antanas; Velykis, Aleksandras",,105,2018,,,
197462,not_duplicate,included,not_screened,not_started,database,WoS,http://apps.webofknowledge.com.proxy.library.ucsb.edu:2048/WOS_GeneralSearch_input.do?product=WOS&search_mode=GeneralSearch&SID=3BARtqOKzy9AEr8flMJ&preferencesSaved=,Impact of monovalent cations on soil structure. Part I. Results of an Iranian soil,"This study investigated the impact of monovalent cations on clay dispersion, aggregate stability, soil pore size distribution, and saturated hydraulic conductivity on agricultural soil in Iran. The soil was incubated with treatment solutions containing different concentrations (0-54.4 mmol l(-1)) of potassium and sodium cations. The treatment solutions included two levels of electrical conductivity (EC= 3 or 6 dS m(-1)) and six K: Na ratios per electrical conductivity level. At both electrical conductivity levels, spontaneously dispersible clay increased with increasing K concentration, and with increasing K: Na ratio. A negative linear relationship between percentage of water-stable aggregates and spontaneously dispersible clay was observed. Clay dispersion generally reduced the mean pore size, presumably due to clogging of pores, resulting in increased water retention. At both electrical conductivity levels, hydraulic conductivity increased with increasing exchangeable potassium percentage at low exchangeable potassium percentage values, but decreased with further increases in exchangeable potassium percentage at higher exchangeable potassium percentage. This is in agreement with earlier studies, but seems in conflict with our data showing increasing spontaneously dispersible clay with increasing exchangeable potassium percentage. Our findings show that clay dispersion increased with increasing K concentration and increasing K: Na ratio, demonstrating that K can have negative impacts on soil structure.","Emami, Hojat; Farahani, Elham; Fotovat, Amir; Keller, Thomas; Khorassani, Reza",,32,2018,,,
197465,not_duplicate,included,not_screened,not_started,database,WoS,http://apps.webofknowledge.com.proxy.library.ucsb.edu:2048/WOS_GeneralSearch_input.do?product=WOS&search_mode=GeneralSearch&SID=3BARtqOKzy9AEr8flMJ&preferencesSaved=,Effects of peat moss and sawdust compost applications on N2O emission and N leaching in blueberry cultivating soils,"Upland blueberry (Vaccinium ashei Read.) requires acidic and organic matter rich soils for its cultivation. Recently, the raised bed cultivation system has widely been used for blueberry cultivation, but it has a potential to cause nitrogen (N) losses via leaching and nitrous oxide (N2O) emission especially with high rate of N application. We investigated the effects of organic amendments on N losses; via leaching ammonium ([image omitted]) and nitrate ([image omitted]) and N2O emission under acid soil conditions. The treatments were (i) ammonium sulfate application (AS), (ii) AS with peat moss (AS + PM), and (iii) AS with sawdust compost (AS + SD). A container (surface area: 47 cm x 40 cm = 0.188 m2) experiment to simulate raised bed cultivation system using an ochric Cambisol was conducted at Chiba University, Japan, during 2008 and 2009. A blueberry plant in each container received N fertilizer three times: 14.8, 23.8, and 14.8 g N m-2 in July 2008, March, and July 2009, respectively. Incorporation of peat moss and sawdust compost with ferrous sulfate effectively decreased soil pH to its optimal ranges (4.0-5.2) and resulted in increased growth and yield of blueberry (berry yield of 2009: 93, 285, and 348 g plant-1 in AS, AS + PM, and AS + SD treatment, respectively) due to increased soil porosity and consequently enhanced plant root biomass. Concurrently, the AS + SD treatment resulted in the least N losses, followed by AS + PM and AS treatment both through leaching and N2O emission. The emitted N2O amount over about two-year blueberry cultivation were 1.28, 0.80, and 0.58 g N m-2 for AS, AS + PM, and AS + SD treatments, respectively. These results indicated that application of organic amendments decreased N losses to the environment most likely due to increased plant N uptake, microbial N immobilization, and consequent reduction in nitrification, denitrification, and leaching.","Inubushi, Kazuyuki; Matsushima, Miwa; Tang, Changyuan; Vano, Imre",,57,2011,,,
197466,not_duplicate,included,not_screened,not_started,database,WoS,http://apps.webofknowledge.com.proxy.library.ucsb.edu:2048/WOS_GeneralSearch_input.do?product=WOS&search_mode=GeneralSearch&SID=3BARtqOKzy9AEr8flMJ&preferencesSaved=,"Response of soil physical, chemical and microbial biomass properties to land use changes in fixed desertified land","Fixed dunes are indicators of successful recovery of desertified land after several years of vegetation restoration. Land use profoundly influences soil properties; however, the effects of changes in land use, after the dunes are fixed, on soil physical, chemical and microbial biomass properties are still unclear. This study investigates the soil physical and chemical properties and soil microbial biomass in a desertified land located in the Xiaojihan desertification control station in northern Shaanxi province, where land use changed from shrub land to arboreal land, arable land and nursery garden. No significant changes in soil properties were found when shrubland was changed to arboreal land. However, changing the fixed desertified land from shrub land to arable land and nursery garden decreased soil porosity, but significantly increased soil bulk density (BD), soil organic matter (SOM), cation exchange capacity (CEC), total nitrogen (TN) and available nutrients (N, P, K). Soil microbial biomass carbon (MBC), nitrogen (MBN) and phosphorus (MBP), as well as microbial quotient (MBC/SOC, MBN/TN, MBP/TP), decreased significantly. No significant changes were detected in soil texture, total phosphorus (TP) and total potassium (TK). Results of this study indicated that agricultural land use can improve the fertility of fixed desertified land; however, soil microbial biomass could decrease. Therefore, conversion of fixed dunes to agricultural usage is full of risks.","Chang, Qingrui; Chen, Tao; Pu, Jie; Qi, Yanbing; Shukla, Manoj K.; Yang, Fengqun",,160,2018,,,
