Con_practice,Paper,DOI/ISSN,Year of observation,Trt.combo,Site,yes_no,SOC.g.kg.weighted,IR.cmh
Reduced tillage,Abdollahi and Munkholm 2014,10.2136/sssaj2013.07.0301,2012,Direct drill,NA,y,10.225,6.5
Reduced tillage,Abdollahi and Munkholm 2014,10.2136/sssaj2013.07.0301,2012,Harrowing,NA,n,10.375,5.083333333333333
Reduced tillage,Abdollahi and Munkholm 2014,10.2136/sssaj2013.07.0301,2012,Moldboard plow,NA,n,10.575,10.833333333333334
Reduced tillage,Alemu et al. 1997,10.1080/00103629709369772,1994,"Continous Sorghum, No Till",NA,y,9.048,2.58
Reduced tillage,Alemu et al. 1997,10.1080/00103629709369772,1994,"Continous Sorghum, Stubble Mulch Till",NA,n,8.932,2.4133333333333336
Reduced tillage,Alemu et al. 1997,10.1080/00103629709369772,1994,"Wheat Sorghum Fallow, No Till",NA,y,8.351999999999999,2.1333333333333333
Reduced tillage,Alemu et al. 1997,10.1080/00103629709369772,1994,"Wheat Sorghum Fallow, Stubble Mulch Till",NA,n,8.235999999999999,2.0533333333333337
Reduced tillage,Arshad et al. 1999,NO  DOI,1988,Conventional Till,Silt Loam,n,7.5,3
Reduced tillage,Arshad et al. 1999,NO  DOI,1988,No Till,Silt Loam,y,8.2625,4.8
Reduced tillage,Barber et al. 1996,10.1016/0167-1987(96)01012-4,1993,Conventional tillage,NA,n,4.059999999999999,0.95
Reduced tillage,Barber et al. 1996,10.1016/0167-1987(96)01012-4,1993,Flexible tillage,NA,y,4.156666666666666,0.46
Reduced tillage,Barber et al. 1996,10.1016/0167-1987(96)01012-4,1993,No tillage,NA,y,4.93,1.17
Reduced tillage,Barber et al. 1996,10.1016/0167-1987(96)01012-4,1993,Reduced tillage/chisel plow,NA,y,4.156666666666666,0.77
Reduced tillage,Bazaya et al. 2009,10.1016/j.still.2009.05.006,2003,Conventional Sowing,NA,n,4.09,1.1400000000000001
Reduced tillage,Bazaya et al. 2009,10.1016/j.still.2009.05.006,2003,Rotavator,NA,n,4.13,1.084
Reduced tillage,Bazaya et al. 2009,10.1016/j.still.2009.05.006,2003,Zero tillage,NA,y,4.36,0.958
Reduced tillage,Bhattacharyya et al. 2008,10.1016/j.agwat.2008.03.007,2005,Conventional tillage,NA,n,3.1174999999999997,1.8599999999999999
Reduced tillage,Bhattacharyya et al. 2008,10.1016/j.agwat.2008.03.007,2005,Zero tillage,NA,y,3.2175000000000002,2.1599999999999997
Reduced tillage,Gangwar et al. 2006,10.1016/j.still.2005.06.015,2001,Conventional Till,NA,n,NA,1.34
Reduced tillage,Gangwar et al. 2006,10.1016/j.still.2005.06.015,2001,No Till,NA,y,NA,0.75
Reduced tillage,Gangwar et al. 2006,10.1016/j.still.2005.06.015,2001,Reduced Till,NA,y,NA,1.25
Reduced tillage,Ketema and Yimer 2014,10.1016/j.still.2014.03.011,2014,AFCST,10 year,y,17.4,23.83
Reduced tillage,Ketema and Yimer 2014,10.1016/j.still.2014.03.011,2014,AFCST,15 year,y,19.4,30.06
