conprac,Trt.combo,Paper,Site,DOI/ISSN,Control
Living cover,Cover crop,Abdollahi and Munkholm 2014,NA,10.2136/sssaj2013.07.0301,NA
Living cover,"Wheat Sorghum Fallow, No Till",Alemu et al. 1997,NA,10.1080/00103629709369772,NA
Living cover,"Wheat Sorghum Fallow, Stubble Mulch Till",Alemu et al. 1997,NA,10.1080/00103629709369772,NA
Living cover,Brachiaria,Lal et al. 1978,NA,10.1016/0378-4290(78)90008-4,NA
Living cover,Centrosema,Lal et al. 1978,NA,10.1016/0378-4290(78)90008-4,NA
Living cover,Glycine,Lal et al. 1978,NA,10.1016/0378-4290(78)90008-4,NA
Living cover,Melinis,Lal et al. 1978,NA,10.1016/0378-4290(78)90008-4,NA
Living cover,Panicum,Lal et al. 1978,NA,10.1016/0378-4290(78)90008-4,NA
Living cover,Pueraria,Lal et al. 1978,NA,10.1016/0378-4290(78)90008-4,NA
Living cover,Setaria,Lal et al. 1978,NA,10.1016/0378-4290(78)90008-4,NA
Living cover,Stylosanthes,Lal et al. 1978,NA,10.1016/0378-4290(78)90008-4,NA
Living cover,"Spring wheat - winter wheat - sunflower, No till",Liebig et al 2004,1984 site,10.1016/j.still.2004.02.002,NA
Living cover,Clover,Locke et al 2013,NA,10.2136/sssaj2012.0325,NA
Living cover,Rye,Locke et al 2013,NA,10.2136/sssaj2012.0325,NA
Living cover,Chickpea,Masri and Ryan 2006,NA,10.1016/j.still.2005.03.003,NA
Living cover,Fallow,Masri and Ryan 2006,NA,10.1016/j.still.2005.03.003,y
Living cover,Lentil,Masri and Ryan 2006,NA,10.1016/j.still.2005.03.003,NA
Living cover,Medic,Masri and Ryan 2006,NA,10.1016/j.still.2005.03.003,NA
Living cover,Vetch,Masri and Ryan 2006,NA,10.1016/j.still.2005.03.003,NA
Living cover,Watermelon,Masri and Ryan 2006,NA,10.1016/j.still.2005.03.003,NA
Living cover,Crimson Clover,McVay et al. 1989,Coastal Plain,10.2136/sssaj1989.03615995005300060040x,NA
Living cover,Crimson Clover,McVay et al. 1989,Limestone Valley,10.2136/sssaj1989.03615995005300060040x,NA
Living cover,Hairy Vetch,McVay et al. 1989,Coastal Plain,10.2136/sssaj1989.03615995005300060040x,NA
Living cover,Hairy Vetch,McVay et al. 1989,Limestone Valley,10.2136/sssaj1989.03615995005300060040x,NA
Living cover,Wheat,McVay et al. 1989,Coastal Plain,10.2136/sssaj1989.03615995005300060040x,NA
Living cover,Wheat,McVay et al. 1989,Limestone Valley,10.2136/sssaj1989.03615995005300060040x,NA
Living cover,"1 year, Maize-pigeonpea",Rusinamhodzi et al. 2012,Ruaca,10.1016/j.fcr.2012.07.014,NA
Living cover,"3 years, Maize-pigeonpea",Rusinamhodzi et al. 2012,Ruaca,10.1016/j.fcr.2012.07.014,NA
Living cover,"5 years, Maize-pigeonpea",Rusinamhodzi et al. 2012,Ruaca,10.1016/j.fcr.2012.07.014,NA
Living cover,Direct seeding 2 year rotation,Thierfelder and Wall 2010,NA,10.1017/S001447971000030X,NA
Living cover,Direct seeding 3 year rotation,Thierfelder and Wall 2010,NA,10.1017/S001447971000030X,NA
Organic amendment,Residue burned,Gangwar et al. 2006,NA,10.1016/j.still.2005.06.015,NA
Organic amendment,Residue incorporated,Gangwar et al. 2006,NA,10.1016/j.still.2005.06.015,NA
Organic amendment,"No till, Stover returned",Moebius-Clune et al. 2008,NA,10.2136/sssaj2007.0248,NA
Organic amendment,"Plow till, Stover returned",Moebius-Clune et al. 2008,NA,10.2136/sssaj2007.0248,NA
Organic amendment,Sunnhemp,Sharma et. al 2010,NA,10.1007/s10705-009-9327-y,NA
Organic amendment,Leucana,Sharma et. al 2010,NA,10.1007/s10705-009-9327-y,NA
Organic amendment,"Sunnhemp, Leucana",Sharma et. al 2010,NA,10.1007/s10705-009-9327-y,NA
Organic amendment,"Urea, Green Manure",Singh et al. 2007,Rice Harvest,10.1016/j.still.2006.07.020,NA
Organic amendment,"Urea, Farmyard Manure",Singh et al. 2007,Rice Harvest,10.1016/j.still.2006.07.020,NA
Organic amendment,"Green Manure, Farmyard Manure",Singh et al. 2007,Rice Harvest,10.1016/j.still.2006.07.020,NA
Organic amendment,"Wheat Straw, Urea",Singh et al. 2007,Rice Harvest,10.1016/j.still.2006.07.020,NA
Organic amendment,"Wheat Straw, Green Manure, Urea",Singh et al. 2007,Rice Harvest,10.1016/j.still.2006.07.020,NA
Organic amendment,"Wheat Straw, Urea, Rice Straw",Singh et al. 2007,Rice Harvest,10.1016/j.still.2006.07.020,NA
Organic amendment,"Wheat Straw, Green Manure, Rice Straw, Urea",Singh et al. 2007,Rice Harvest,10.1016/j.still.2006.07.020,NA
Organic amendment,"Urea, Green Manure",Singh et al. 2007,Wheat Harvest,10.1016/j.still.2006.07.020,NA
Organic amendment,"Urea, Farmyard Manure",Singh et al. 2007,Wheat Harvest,10.1016/j.still.2006.07.020,NA
Organic amendment,"Green Manure, Farmyard Manure",Singh et al. 2007,Wheat Harvest,10.1016/j.still.2006.07.020,NA
Organic amendment,"Wheat Straw, Urea",Singh et al. 2007,Wheat Harvest,10.1016/j.still.2006.07.020,NA
Organic amendment,"Wheat Straw, Green Manure, Urea",Singh et al. 2007,Wheat Harvest,10.1016/j.still.2006.07.020,NA
Organic amendment,"Wheat Straw, Urea, Rice Straw",Singh et al. 2007,Wheat Harvest,10.1016/j.still.2006.07.020,NA
Organic amendment,"Wheat Straw, Green Manure, Rice Straw, Urea",Singh et al. 2007,Wheat Harvest,10.1016/j.still.2006.07.020,NA
Organic amendment,With residue,Singh et al. 2016,NA,10.1016/j.still.2015.08.006,NA
Organic amendment,50NPK/50FYM/100NPK,Walia et al. 2010,NA,10.1080/10440046.2010.507519,NA
Organic amendment,75NPK/25FYM/75NPK,Walia et al. 2010,NA,10.1080/10440046.2010.507519,NA
Organic amendment,50NPK/50straw/100NPK,Walia et al. 2010,NA,10.1080/10440046.2010.507519,NA
