Dataset x,Dataset y
3.784970305878E-1,6.696573354677E-1
7.452378783344E-1,7.122620023686E-1
1.496592442206E0,7.550480007982E-1
1.828411787417E0,7.929215632687E-1
2.615251803555E0,7.791486094301E-1
2.964033021426E0,8.736058511954E-1
3.747619481427E0,1.213429378310E0
4.042825474911E0,1.430442006446E0
4.848536116642E0,1.265809463076E0
5.144306059857E0,1.421532034514E0
5.985285250112E0,1.223913637606E0
6.263702893930E0,1.365484107463E0
7.084423274639E0,1.469593131960E0
7.380193217854E0,1.625315703397E0
8.203429681976E0,1.455976782623E0
8.498765817705E0,1.658845551521E0
9.270422571871E0,1.395189508800E0
9.600853733130E0,1.583930903144E0
